X,Y,item,pagerank,chosen
81.48188,-14.422727,graph theory,0.0002886997759998745,1.0
14.202787,-40.34959,information theory,0.00018457981997001206,1.0
38.115585,7.85345,claude shannon,0.0001727460192460222,1.0
-4.334968,-54.59554,data mining,9.145942067928083e-05,1.0
-33.768368,-19.370764,chaos theory,8.345428540605453e-05,1.0
-20.791258,-24.726301,control theory,8.918986665044396e-05,1.0
52.15125,45.304024,quantum logic gate,0.0006501684155729331,1.0
15.684911,-7.6643553,collective intelligence,6.098681170817919e-05,1.0
-21.247957,-88.94461,operations research,0.00010565819864358853,1.0
78.92776,-37.193527,low-density parity-check code,9.992447621021913e-05,1.0
-101.415985,-3.3681545,remote sensing,0.0007274694924840454,1.0
-12.986681,3.5306633,simulated reality,6.098681170817919e-05,1.0
-36.68306,50.808556,visual perception,0.0005060017217475599,0.0
5.969384,10.847839,cognitive science,9.331625851589204e-05,1.0
-25.490042,79.021904,electromagnetic wave equation,0.00041891596086775863,1.0
-68.16019,-24.303368,fourier transform,0.00029390851400953454,1.0
33.418034,-34.380344,semantic web,9.823618941920352e-05,1.0
68.40971,6.5381722,propositional calculus,0.00013864039347309228,0.0
52.60868,25.35408,false dilemma,0.0002798140164713883,1.0
-19.208931,-21.986238,thermodynamic equilibrium,0.00021301877135163845,0.0
-69.74306,8.502417,wearable computer,0.00021569456886539684,1.0
13.316793,15.474835,empathy,6.78443620080671e-05,1.0
17.155645,-60.535046,analytics,0.0005625908078053184,1.0
26.441584,36.37855,philosophy of perception,0.00015167393931206724,1.0
-58.68441,12.788006,internet of things,0.0002715255303373122,0.0
-2.1968057,18.136951,cognitive psychology,0.0002827279866041836,0.0
-28.821976,37.79926,psychoacoustics,0.0004450740005967031,1.0
32.315372,54.90313,finite element method,0.0002897678031837059,0.0
-25.033913,2.0675364,neural network,6.67145166490917e-05,0.0
-51.9986,-28.771759,system analysis,0.0005998964493294445,0.0
68.61407,4.81726,truth-functional propositional logic,0.0007409266271062077,0.0
4.7405553,19.491442,embodied cognition,0.0008831230119575267,0.0
-35.901573,10.651149,speech recognition,0.00020059430750253,0.0
-5.9561667,80.09415,graphics processing unit,0.00020368971776829327,0.0
-57.83728,31.069645,3d computer graphics,8.717830387568163e-05,0.0
10.693729,34.085423,self-awareness,0.0006938903997215178,1.0
12.52327,-48.64284,digital preservation,0.0004431105502897608,1.0
-5.1741624,79.4761,gpu,0.00017741799248397779,0.0
18.679544,-37.254913,induction (philosophy),0.0002441271167766392,0.0
-9.588404,-10.984105,artificial intelligence,0.00013724196112736497,0.0
-37.42293,10.646627,speech recognition software in healthcare,0.00012188242230117458,0.0
38.799114,-52.507072,computational linguistics,0.00014562548316062718,0.0
7.73272,-28.667099,openness,0.00015459504976116317,0.0
48.273563,28.507002,fuzzy logic,0.00031253097349094193,0.0
57.956825,-45.492985,constructed language,0.0003376580980918535,1.0
15.456174,27.48856,animal consciousness,0.0005903752205611727,0.0
-22.139296,3.6130776,artificial neural network,4.2467908817432726e-05,0.0
-45.760185,-50.770844,spatial dependence,0.0001921697368748496,1.0
-52.43807,27.013578,computer-aided design,0.0002108222217190864,0.0
22.778421,-16.511969,collaborative software,0.00019596707894081343,1.0
-37.973682,-42.213192,principal components analysis,0.00026912301285114443,0.0
34.883755,-60.566208,natural-language processing,7.420270147615492e-05,1.0
-24.573208,43.420235,senses,0.0004874602512992922,0.0
-11.228167,9.956427,noogenesis,0.000367726815212547,0.0
-74.75041,-42.663555,correlation,0.0011919584932935873,1.0
19.989666,-48.526146,data management,0.0006821165698085304,0.0
19.062485,-0.8001735,spiral of silence,0.00011973313754561417,0.0
11.251219,-12.848393,problem shaping,6.651801466816533e-05,0.0
-24.005762,-75.04973,optimal control,0.0002379695880348283,0.0
34.7953,-59.58116,natural language processing,9.174966326033346e-05,0.0
-3.6148505,5.431496,artificial consciousness,0.00026086204222074865,0.0
-27.286613,-12.140687,dynamical systems theory,0.00011514378258393295,0.0
10.939227,-10.955571,problem finding,0.0002859097191291046,0.0
-12.987288,47.89928,optical illusion,0.00024197607420420517,0.0
-16.24862,-2.7503445,biologically inspired computing,8.861238807888825e-05,0.0
-0.19017604,37.72524,perception,0.00019666892591735846,0.0
-85.14761,34.382885,superlens,4.170485048249372e-05,1.0
-70.2201,-8.114376,transhumanism,0.000350642816381385,1.0
51.296333,63.86617,ieee 754,0.0007675046536439216,0.0
-17.476786,3.4229126,cognitive architecture,6.651801466816533e-05,0.0
20.469387,24.26672,turing test,0.00021382378597363823,0.0
-13.963429,-90.72012,decision theory,0.0002557619005261022,0.0
74.2657,18.911976,boolean algebra (structure),0.00016425669321465746,0.0
27.886719,47.605976,interval finite element,0.0003091981671705674,0.0
14.616013,21.393864,theory of mind,0.00031741308950649445,0.0
22.922052,14.506142,speech repetition,0.00010635061782313282,0.0
-47.969296,20.914297,3d printing,0.0008936620234402578,0.0
-1.8585435,43.200256,gestalt psychology,4.233652867165292e-05,0.0
-7.2121415,-16.927547,system dynamics,9.953241761908785e-05,0.0
27.735615,-25.620502,library,0.00013698073400412235,0.0
29.777777,30.149467,map–territory relation,0.00022854264976577995,0.0
5.3880563,-32.217724,open data,0.000669728785218211,0.0
60.739006,-19.736855,relational algebra,0.00017576083266873698,0.0
52.166027,-30.70185,natural-language programming,8.90540572855568e-05,0.0
15.451723,4.1769605,collective effervescence,0.00021594573388887084,0.0
13.34569,-83.16018,ising model,0.0006932092990676577,0.0
-23.412373,-44.77075,cluster analysis,4.233652867165292e-05,0.0
14.070161,-65.21421,web analytics,4.233652867165292e-05,0.0
68.779396,30.269814,logic gate,4.233652867165292e-05,0.0
-6.878657,-2.7075553,meme,4.233652867165292e-05,0.0
-15.841029,19.383879,brain–computer interface,0.0001278088991798083,0.0
20.544794,48.040283,space mapping,0.0012983015862913377,0.0
53.354877,18.03749,principle of bivalence,0.0004652619608360178,0.0
-14.867674,47.955864,visual illusion,0.0004723891746506655,0.0
49.127026,60.683994,floating point,0.00031687061258983234,0.0
45.140453,-45.335094,linguistics,0.00029721949721250374,0.0
15.030583,0.55851126,crowd psychology,0.00012621126879041274,0.0
-53.13218,12.892629,robotic mapping,0.0005360712465284898,0.0
62.416027,6.9553213,first-order logic,0.00015894874446213436,0.0
-24.260849,-70.400475,kalman filter,0.00014979975012301486,0.0
18.168404,66.40818,vision processing unit,6.63065017147007e-05,0.0
49.988937,-18.219166,siri (software),0.00020146015619550942,0.0
51.41295,-58.88788,language acquisition,0.00024448341898827223,0.0
23.190182,4.6134963,group behaviour,0.00025645180526085034,0.0
5.1434546,1.1470083,mental model,0.0005922204085804537,0.0
52.24515,4.471978,logistic function,0.0001371361177054676,0.0
-6.050992,50.39955,motion perception,0.00044810454532283366,0.0
-18.96471,-15.137674,ecology,0.000812149775335358,0.0
14.162226,75.19896,stream processing,0.00010488764821344822,0.0
-21.633049,-43.58211,data clustering,0.00024507245693520315,0.0
10.115237,25.796284,neural correlate,6.896141813706579e-05,0.0
59.370483,33.670975,many-valued logic,0.00013661419260231858,0.0
-47.336872,-66.61361,conservation biology,0.0002751392397727306,0.0
6.4913607,18.7083,predictive coding,0.0005649034702205228,0.0
9.986648,72.490555,parallel computing,0.0009562354146988573,0.0
-15.337886,12.388057,mathematical neuroscience,0.00010631252821658853,0.0
6.5696507,-63.157696,social network analysis,0.0010922450235178987,0.0
-38.438053,46.191658,visual system,0.0003900176169267207,0.0
-80.975464,8.902869,lifecasting (video stream),0.0003402556291056437,0.0
-26.824867,-6.818614,social complexity,0.0003856378289608156,0.0
-73.14236,-26.786366,fourier analysis,0.0007501257351335138,0.0
-4.770639,5.672506,simulated consciousness,8.01689252082998e-05,0.0
58.435703,25.332348,catch-22 (logic),0.0005042642375954681,0.0
-18.575016,31.389442,recognition of human individuals,0.000479392562605189,0.0
72.09666,8.24461,exclusive or,0.00010126137944567348,0.0
-57.933887,-23.874092,analog signal processing,8.92872828212172e-05,0.0
-39.58765,-75.53976,forestry,0.00041654321380740766,0.0
18.113497,-24.921389,collaborative filtering,0.00022529547245398146,0.0
24.289064,-68.23573,open source intelligence,0.00026057747076804234,0.0
-18.166143,-41.333855,pattern recognition,0.00021164566898051651,0.0
1.5958806,-42.736446,distributional semantics,0.00037523610462630354,0.0
3.6036885,-19.649235,darpa,0.0008510068531744083,0.0
-82.02598,8.8086605,lifestreaming,4.326438214984663e-05,0.0
-16.050543,-74.021545,stochastic process,0.00010165146782850409,0.0
2.9158008,72.183044,gpgpu,0.0005154203705852717,0.0
-67.32441,15.582357,smartdust,0.0006295114277553937,0.0
1.3652977,73.73861,opencl,0.001495201407912309,0.0
-56.75035,-43.190567,normal distribution,0.00029655895376052736,0.0
